Name,Membership,Category,Description,Address,Phone
 PT. Metropolitan Bayutama,Diamond Member,AC Industri dan Komponen (699),"  Profil Perusahaan  PT. Metropolitan Bayutama adalah anak perusahaan Metropolitan Group. Didirikan di Jakarta pada tanggal 29 November 1985. PT. Metropolitan Bayutama telah diakui sebagai salah satu perusahaan terbesar dan terpercaya dalam bisnis mesin pendingin gedung di Indonesia.
Saat ini, Metropolitan Bayutama menjalankan kegiatan usaha penjualan Unit Chiller dan komponen suku cadang asli merk Hitachi.
Kami didukung oleh Team Service terlatih yang telah ditraining langsung oleh Hitachi yang siap melakukan pelayanan Jasa Maintenance Service Chiller Hitachi seperti Over Haul Compressor, pekerjaan ganti oli Compressor, perbaikan Chiller, penggantian suku cadang yang rusak dan semua yang berhubungan dengan produk yang kami jual. ","Jl. JembatanTiga, No. 36 FS-FT, Jakarta Utara 14450, Jakarta Utara, DKI Jakarta, Indonesia",+62 878-7329-6003
 CV. Surya Abadi Teknik,Diamond Member,AC Industri dan Komponen (699),"  Profil Perusahaan  CV. Surya Abadi Teknik adalah perusahaan yang bergerak dibidang industri perlengkapan dan pendingin AC. Produk kami telah teruji kualitas dan keunggulannya sehingga dapat diandalkan di lapangan. Didukung dengan tenaga kerja yang ahli dengan menggunakan alat-alat canggih, produksi kami cocok dijadikan sebagai pilihan untuk solusi pendingin ruangan untuk industri Anda. ","Jl. Kali Kundang No. 10, Simomulyo, Surabaya, Surabaya, Jawa Timur, Indonesia",+62 899-9999-238
 Maestro,Diamond Member,AC Industri dan Komponen (699),"  Profil Perusahaan  CV MAESTRO adalah Perusahaaan yang bergerak dibidang pengadaan material bangunan dan aplikasinya ,yang berdiri sejak tahun 2007. Produk yang Kami sediakan antara lain:Genteng
Adalah material yang berfungsi sebagai penutup atap bangunan seperti rumah tinggal, gedung, sekolah, tempat ibadah dan berbagai jenis bangunan lainnya. Jenis genteng yang Kami jual adalah: Genteng Keramik, yang terbuat dari bahan tanah liat yang dibakar pada suhu tertentu dengan finishing glazur aneka warna. Genteng  Beton SNI dengan finishing cat. Atap gelombang spandek dan genteng metal batuanRangka atap baja ringan
Kami menyediakan material dan tenaga ahlinya untuk aplikasi rangka atap baja ringan.Produk rangka atap baja ringan yang tersedia di Perusahaan Kami: MASTER TRUSS, TASO, SPYRO TRUSS.Material Struktur Bangunan
Adalah material pokok pendukung bangunan,antara lain: CEILING BRICK, BATARINGAN DAN BONDEK.Interior Bangunan
Kami menyediakan segala jenis material yang berfungsi untuk menambah estetika dari bangunan,antara lain; pengadaan dan pemasangan Plafond Gypsum dan Partisi Gypsum.Material Concrete
Kami menyediakan material yang menggunakan bahan dasar semen,pasir dan kalsium sebagai bahan pokoknya.Produk tersebut antara lain; Paving Block, Grass Block, Buis Beton, Rooster. ","Jl. Raya M Kahfi I, No. 2, Ciganjur, Jakarta Selatan, Jakarta Selatan, DKI Jakarta, Indonesia",+62 816-1485-213
 PT DWI FILTER JAYA,Diamond Member,AC Industri dan Komponen (699),"  Profil Perusahaan  Perusahaan kami berdiri sejak Tahun 1994. 
Kami memproduksi berbagai macam jenis Filter Industry berkualitas tinggi dengan segala macam, bentuk dan ukuran atau sesuai dengan permintaan calon pembeli, selain itu kami juga menerima jasa Repaire Filter atau rekondisi Filter.Produk kami antara lain :
Filter Separator, Filter Strainer, Filter Udara,Filter Air, Filter Hydraulic, Filter Element, Filter Driyer, Filter RO, Suction Filter, Candle Filter, Bag Filter, Filter Pocket, Filter PBR, Catridge Filter, Dust Catridge Filter, Dust Collector, Filter HVAC, Pre Filter, After Filter, Panel Filter, Medium Filter, Hepa Filter, Filter V-Bank, Filter AHU, Filter Gas, Filter Bahan Bakar ( Solar ), Oil Filter, dll ","Office:Tower Fontana Lt 16-B1, Jl. Trembesi Blok D-4 Bandar Baru Kemayoran Jakarta Utara, Jakarta Utara, DKI Jakarta, Indonesia",+62 812-8251-4956
 Victoria Jaya,Diamond Member,AC Industri dan Komponen (699),"  Profil Perusahaan  Victoria Jaya Adalah Toko Pusat Penjualan Spare Part Dan Alat-Alat Pendingin Untuk Ac, Freezer, Chiller, Showcase, Kulkas Dan Mesin Pendingin Lain Nya.
Kami Menyediakan Dan Menjual Berbagai Macam Suku Cadang Seperti Kompresor, Pipa Tembaga, Freon, Flaring Dan Swaging Tools, Analyser / Manifold, Cutter Pipa, Alat Las, Fitting Tembaga, Dll Dengan Harga Yang Sangan Kompetitif.Kami Tidak Hanya Menjual Produk Tetapi Kami Juga Memiliki Informasi Teknikal Untuk Masing-Masing Produk Yang Dibutuhkan Oleh Pembeli.Kepuasan Anda Adalah Juga Kepuasan Kami. ","LTC Glodok Lantai GF 1 Blok B11 No. 2,, Jakarta Barat, DKI Jakarta, Indonesia",+62 878-8688-5481
 PT. Sinko Prima Alloy,Diamond Member,AC Industri dan Komponen (699),"  Profil Perusahaan  Kami adalah perusahaan profesional dan berpengalaman dalam mendesain sistem elektrik dan elektronik, khususnya untuk Solar Power System (Inverter, Solar Charger Controller), Central Monitoring Station, Network Monitoring Station, Remote Monitoring Station, Produk Hemat Energi, Produk dan Sistem Penerangan Umum (Lampu Swaballast, LED), Produk dan Sistem Telekomunikasi, Produk dan Sistem Pengelolaan Air dan Udara, dll. 
Berkat dukungan segala pihak, kami akan terus berkarya demi mencapai Sistem untuk kehidupan yang lebih baik. ","Jl. Tambak Osowilangun No. 61, Pergudangan Osowilangun Permai Blok E No. 7-8, RT.002, RW.004, Kel. Tambak Osowilangun, Kec. Benowo, Surabaya, Jawa Timur, Indonesia",+62 813-3383-2453
 PT Metalindo Prima Engineering,Platinum Member,AC Industri dan Komponen (699),  Profil Perusahaan  PT. Metalindo Prima Engineering Perusahaan kami bergerak dibidang peralatan Penukar Kalor sejak th. 1990 Kami mempunyai komitment yang kuat untuk secara terus menerus mengembangkan peralatan Hemat Energi sebagai tanggung jawab moral kami pada lingkungan. perusahaan kami adalah spesialis kontraktor Pendinginan dan fabrikator. ,"Jl. KH Zainal Mustafa No. 17, Jakarta Timur, DKI Jakarta, Indonesia",
 CV. Harapan Teknik Surabaya,Platinum Member,AC Industri dan Komponen (699),"  Profil Perusahaan  Kami adalah perusahaan yang bergerak di bidang hvac dan refrigerasi yang menjual mesin Cold storage, mesin air blas freeze,  mesin air blast chiller, mesin brain freezer,  mesin brain chiller, mesin water chiller, mesin dehumidifier, mesin humidifier, mesin presicion air handling unit dari merk ternama seperti daikin, York,  Bitzer, Emerson, dan lainnya. Kami melayani untuk perusahaan dan perorangan. ","jl. kedung seroko no. 26 (belakang unair kedokteran), Surabaya, Jawa Timur, Indonesia",+62 812-3195-0920
 PT. Metalindo Prima Engineering B,Platinum Member,AC Industri dan Komponen (699),"  Profil Perusahaan  Perusahaan kami adalah spesialis Kontraktor AC dan Refrigeration. Kami juga merupakan fabrikasi  water chilling unit , Evaporator dan water cooled Condenser .
Pasar industri kami terdiri dari Industri Kimia, Industri Farmasi, Food & Beverages Process Industry, Edible Industri Proses Oil, Hotel, Rumah Sakit dan berbagai Industri lainnya.
Adapun produk kami antara lain: Air Cooled HE , Shell & Tube HE, Plate Heat Exchanger, Heat Recovery, Water Cooled Chiller, Air Cooled Chiller, Fin Tube, Heat Pump, Absorption Chiller, dll. ","Jl. KH Zainal Mustafa No. 1, Jatinegara, Jakarta Timur 13350, Jakarta Timur, DKI Jakarta, Indonesia",
 CV. Sumber Wahana Teknik,Gold Member,AC Industri dan Komponen (699),"  Profil Perusahaan  Sumber Wahana Teknik adalah perusahaan yang bergerak di bidang mesin pendingin, antara lain adalah :
1. Air Handling Unit ( AHU )
2. Cooling Coil :
• Evaporator Coil
• Finned Heat Exchanger
• Shell dan Tube
• Repair dan Retubing
3. Chiller :
• Air Chiller
• Water Chiller
4. Compressor Hermetic dan Semi Hermatic
Perusahaan kami melayani pembelian dan pemasangan seluruh Indonesia. Kami memberikan garansi untuk semua produk kami dan di dukung oleh tehnisi yang berpengalaman
Untuk informasi lebih lanjut silahkan hubungi kami:
sumberwahanateknik@yahoo.com ","Jl. Raya Angkasa Kav. B6, Kemayoran Jakarta Pusat 10610, Jakarta Indonesia, Jakarta Pusat, DKI Jakarta, Indonesia",+62 812-8287-8847
